1123334.80,0.00
-1768682.45,-417529.11
-1166020.86,1355648.75
168585.97,1053764.48
228904.73,601375.65
394866.78,223954.52
216503.00,164622.84
54228.17,126337.46
60835.03,68680.28
55403.62,102098.73
20414.00,83620.63
-11129.88,162955.76
86015.59,152615.99
168492.04,121327.52
170487.71,51426.39
125148.15,-5308.75
56889.18,10480.07
33243.24,37488.57
42071.19,68223.27
74184.08,72045.87
91088.47,47373.98
85259.57,17653.98
66708.68,10396.54
61807.92,3724.05
50473.16,1097.11
62663.87,-6613.55
59506.25,-8127.11
51808.55,-17613.42
51364.37,-11927.15
60770.17,496.17
62540.44,-742.32
61544.23,3683.21
67178.76,-12357.09
50959.46,-22640.67
27741.15,-33830.73
16590.07,-11704.33
33541.18,-7265.65
43219.54,-16432.90
38084.03,-28049.65
33355.65,-19278.41
41800.80,-21201.18
33952.97,-27088.59
22541.25,-29146.89
17251.19,-23373.03
22866.18,-14656.00
25192.62,-19970.83
12237.88,-24025.35
17031.70,-19232.81
19973.47,-18523.68
19561.97,-25068.55
15294.06,-28712.74
8337.60,-23884.99
8451.61,-17422.45
10740.47,-17487.15
9683.11,-16950.18
1935.32,-18191.86
7961.00,-20175.06
7817.73,-16348.14
4926.98,-18690.51
6418.40,-17698.57
6548.98,-22240.78
8281.75,-18517.00
1685.57,-11204.13
2497.27,-6818.72
6757.90,-7473.63
4527.10,-7781.74
4615.04,-7124.95
-1630.56,-6920.40
96.05,-12150.68
-4691.58,-12508.93
-2908.66,-7343.05
1336.97,-3321.07
7453.15,-9772.41
3223.77,-10530.17
-2933.04,-7505.26
3294.85,-782.43
10222.09,-1796.34
5700.73,-10943.04
419.50,-8716.97
2512.70,3596.69
9299.51,-3578.97
5351.25,-1126.04
2252.54,-1716.57
6512.86,5096.50
11515.65,-1993.17
6885.48,-2929.55
-51.64,-972.44
2567.66,3132.95
3938.55,-2973.87
9105.81,-3955.72
7097.72,-2598.96
11210.71,2438.60
5909.49,-3855.20
7619.72,-2214.64
11249.44,-1768.92
12361.76,-2187.66
8300.00,-4425.19
5965.21,1140.89
13036.23,1946.24
15047.07,-4155.00
6105.55,-3955.96
8688.81,-1501.24
13798.34,1757.39
